Identifiant local,Nom réel d'entreprise,ISIN,Ticker Trading 212,Devise
akzanleur,Akzo Nobel,NL0013267909,AKZAa_EQ,EUR
dpwdeeur,DHL Group,DE0005552004,DPWd_EQ,EUR
teniteur,Tenaris,LU2598331598,TW10d_EQ,EUR
SAP,SAP,DE0007164600,SAPd_EQ,EUR
EVD.DE,Evotec,DE0005664809,EVTd_EQ,EUR
GMAB,Genmab,DK0010272202,GE9d_EQ,EUR
randnleur,Randstad,NL0000379121,RANDa_EQ,EUR
FPE.DE,Fuchs,DE000A3E5D56,FPEd_EQ,EUR
NVO,Novo Nordisk,DK0062498333,NOVCd_EQ,EUR
NVS,Novartis,CH0012005267,NOTd1_EQ,EUR
ZEAL.CO,Zeal Network,DE000ZEAL241,TIMd_EQ,EUR
AMS.MC,Amadeus IT,ES0109067019,AMSe_EQ,EUR
daideeur,Mercedes-Benz,DE0007100000,DAId_EQ,EUR
acfreur,Accor,FR0000120404,ACp_EQ,EUR
mrkdeeur,Merck,DE0006599905,MRKd_EQ,EUR
vnadeeur,Vonovia,DE000A1ML7J1,VNAd_EQ,EUR
rifreur,Pernod Ricard,FR0000120693,RIp_EQ,EUR
belgbeeur,Proximus,BE0003810273,PROX_BE_EQ,EUR
abibeeur,AB InBev,BE0974293251,ABI_BE_EQ,EUR
lxsdeeur,LANXESS,DE0005470405,LXSd_EQ,EUR
cafreur,Carrefour,FR0000120172,CAp_EQ,EUR
